anio,diesel_bajo_azufre,gas_licuado_petroleo,gasolina_regular,gasolina_superior
2001,0.0,2097517.45,1877504.23,3458874.87
2002,0.0,2363766.21,1989295.83,3949219.5
2003,0.0,2558650.11,2275638.09,4441777.12
2004,0.0,2714696.42,2377799.52,4553311.19
2005,0.0,3333175.5,2218206.85,4808488.58
2006,0.0,3554038.71,2617960.05,4833566.14
2007,0.0,3732188.39,3001753.7399999998,5378957.05
2008,0.0,3776484.25,2704465.07,4649004.31
2009,0.0,3624486.0500000003,3616519.55,5343285.48
2010,0.0,3979823.18,3358398.2800000003,5212706.35
2011,0.0,4073975.01,3268362.32,4733637.74
2012,0.0,4304669.1,3046599.48,4877062.81
2013,0.0,4915256.29,3585079.29,5015279.88
2014,0.0,4873212.78,4403119.26,5734521.16
2015,0.0,5918686.05,5499986.44,6918916.69
2016,0.0,6407322.67,5945338.76,7246261.37
2017,0.0,6764868.92,6221673.9399999995,7381421.78
2018,11687749.790000001,6331879.890000001,6657778.43,7118390.9399999995
2019,13534589.97,6706637.54,8208983.66,7633772.98
2020,11882476.34,7003395.49,7464883.07,6440397.88
2021,14626081.19,7453865.0,8594555.2,8595855.05
2022,14219725.84,7625708.77,9485237.89,7196311.0600000005
2023,6872868.73,3223759.04,4307420.68,3138504.34
